Gene Symbol Herein	Gene Symbol ZFIN	Gene Symbol Source	Species	Higher-level taxon	Evidence	Additional Details	S	Pub 
Tbx3		Tbx3	chick	Sarcopterygii: Aves	ectopic expression	(Rallis et al., 2005)	2	(Horton et al., 2008) 
Tbx3		Tbx3	chick	Sarcopterygii: Aves	misexpression	(Suzuki et al., 2004)	2	(Horton et al., 2008) 
Tbx3		tbx3	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, chick, human, mouse	4	(Ruvinsky et al., 2000) 
Tbx3		tbx3	human	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, human, mouse	4	(Ruvinsky et al., 2000) 
Tbx3		Tbx3	human	Sarcopterygii: Mammalia	phylogenetic analysis		4	(Zhang et al., 2012)
Tbx3		Tbx3	human	Sarcopterygii: Mammalia	sequencing	alignment with Siberian sturgeon (Acipenser baerii)	4	(Zhang et al., 2012)
Tbx3		Tbx3	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(Gibson-Brown et al., 1996)
Tbx3		tbx3	mouse	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, human, mouse	4	(Ruvinsky et al., 2000) 
Tbx3		Tbx3	Siberian sturgeon (Acipenser baerii)	Actinopterygii: Acipenseriformes	in situ		3	(Zhang et al., 2012)
Tbx3		Tbx3	Siberian sturgeon (Acipenser baerii)	Actinopterygii: Acipenseriformes	phylogenetic analysis		4	(Zhang et al., 2012)
Tbx3		Tbx3	Siberian sturgeon (Acipenser baerii)	Actinopterygii: Acipenseriformes	sequencing	alignment with human	4	(Zhang et al., 2012)
Tbx3		Tbx3	Siberian sturgeon (Acipenser baerii)	Actinopterygii: Acipenseriformes	PCR	RT-PCR	3	(Zhang et al., 2012)
Tbx3	tbx3a	tbx3 (tbx3a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Ruvinsky et al., 2000) 
Tbx3	tbx3a	tbx3 (tbx3a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, chick, human, mouse	4	(Ruvinsky et al., 2000) 
Tbx4		Tbx4	Amphioxus (Branchiostoma floridae)	Cephalochordata	in situ		3	(Horton et al., 2008) 
Tbx4		Tbx4	axolotl (Ambystoma mexicanum)	Sarcopterygii: Amphibia	in situ	(Khan et al., 2002)	3	(Don et al., 2013)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	in situ	(Logan and Tabin, 1999)	3	(Abbasi, 2011)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	in situ		3	(Cole and Currie, 2007) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	in situ		3	(Don et al., 2013)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	in situ		3	(Don et al., 2013)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	ectopic expression	(Rodriguez-Esteban et al., 1999)	2	(Don et al., 2013)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	misexpression	(Takeuchi et al., 2003)	2	(Don et al., 2013)
Tbx4		Tbx4	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Tbx4		Tbx4	chick	Sarcopterygii: Aves	ectopic expression	ectopic limb induction studies, ectopic expression: forlimb mesenchyme to hindlimb grafting and vice versa	2	(Horton et al., 2008) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	misexpression	misexpression in leg field (Takeuchi et al., 2003)	2	(Nuno de la Rosa et al., 2014)
Tbx4		tbx4	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, chick, mouse	4	(Ruvinsky et al., 2000) 
Tbx4		tbx4	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, chick, mouse	4	(Ruvinsky et al., 2000) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	misexpression	(Rodriguez-Esteban et al., 1999)	2	(Tanaka et al., 2005) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	misexpression	(Rodriguez-Esteban et al., 1999)	2	(Tanaka et al., 2005) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Tanaka et al., 2002)	3	(Abbasi, 2011)
Tbx4		Tbx4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Cole and Currie, 2007) 
Tbx4		Tbx4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	RT-PCR	3	(Tanaka et al., 2002)  
Tbx4		Tbx4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	sequencing	sequence alignment with zebrafish+chick+human	4	(Tanaka et al., 2002)  
Tbx4		Tbx4	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole-mount in situ hybridization	3	(Tanaka et al., 2002)  
Tbx4		Tbx4	human	Sarcopterygii: Mammalia	natural mutation		1	(Horton et al., 2008) 
Tbx4		Tbx4	human	Sarcopterygii: Mammalia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	human	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	(Logan, 2003)	3	(Albalat et al., 2010)
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	knockout	(Logan, 2003)	1	(Albalat et al., 2010) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	ectopic expression		2	(Don et al., 2013)
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	(Gibson-Brown et al., 1996)	3	(Don et al., 2013)
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(Gibson-Brown et al., 1996)
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	knockout		1	(Horton et al., 2008) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	knockout	(Naiche and Papaioannou, 2003)	1	(Horton et al., 2008) 
Tbx4		tbx4	mouse	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse	4	(Ruvinsky et al., 2000) 
Tbx4		tbx4	mouse	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse	4	(Ruvinsky et al., 2000) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Chapman et al., 1996)	3	(Tanaka et al., 2005) 
Tbx4		Tbx4	mouse	Sarcopterygii: Mammalia	in situ	whole mount (Chapman et al., 1996)	3	(Tanaka et al., 2005) 
Tbx4		Tbx4	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	in situ	(Khan et al., 2002)	3	(Don et al., 2013)
Tbx4		Tbx4	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4		Tbx4	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Tbx4	tbx4	tbx4	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Albalat et al., 2010)
Tbx4	tbx4	tbx4	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ruvinsky et al., 2000) 
Tbx4	tbx4	tbx4	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Ruvinsky et al., 2000) 
Tbx4	tbx4	tbx4	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, chick, mouse	4	(Ruvinsky et al., 2000) 
Tbx4	tbx4	Tbx4	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4	tbx4	Tbx4	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx4	tbx4	Tbx4	zebrafish	Actinopterygii: Teleostei	in situ	whole mount (Tamura et al., 1999)	3	(Tanaka et al., 2005) 
Tbx4, Tbx5		Tbx4/5	Amphioxus (Branchiostoma floridae)	Cephalochordata	Phylogenetic analysis		4	(Abbasi, 2011)
Tbx5		Tbx5	Amphioxus (Branchiostoma floridae)	Cephalochordata	in situ		3	(Horton et al., 2008) 
Tbx5		Tbx5	axolotl (Ambystoma mexicanum)	Sarcopterygii: Amphibia	in situ	(Khan et al., 2002)	3	(Don et al., 2013)
Tbx5		Tbx5	chick	Sarcopterygii: Aves	in situ	(Logan and Tabin, 1999)	3	(Abbasi, 2011)
Tbx5		Tbx5	chick	Sarcopterygii: Aves	in situ		3	(Cole and Currie, 2007) 
Tbx5		Tbx5	chick	Sarcopterygii: Aves	ectopic expression	(Rodriguez-Esteban et al., 1999)	2	(Don et al., 2013)
Tbx5		Tbx5	chick	Sarcopterygii: Aves	misexpression	(Takeuchi et al., 2003)	2	(Don et al., 2013)
Tbx5		Tbx5	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Tbx5		Tbx5	chick	Sarcopterygii: Aves	ectopic expression	ectopic limb induction studies, ectopic expression: forlimb mesenchyme to hindlimb grafting and vice versa	2	(Horton et al., 2008) 
Tbx5		tbx5	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, human, chick, Xenopus	4	(Ruvinsky et al., 2000) 
Tbx5		Tbx5	chick	Sarcopterygii: Aves	in situ	(Rodriguez-Esteban et al., 1999)	3	(Tanaka et al., 2005) 
Tbx5		Tbx5	chick	Sarcopterygii: Aves	in situ	(Rodriguez-Esteban et al., 1999)	3	(Tanaka et al., 2005) 
Tbx5		Tbx5	chick	Sarcopterygii: Aves	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	chick	Sarcopterygii: Aves	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	(Tanaka et al., 2002)	3	(Abbasi, 2011)
Tbx5		Tbx5	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ		3	(Cole and Currie, 2007) 
Tbx5		Tbx5	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	PCR	RT-PCR	3	(Tanaka et al., 2002)  
Tbx5		Tbx5	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	sequencing	sequence alignment with zebrafish+chick+human	4	(Tanaka et al., 2002)  
Tbx5		Tbx5	dogfish shark (Scyliorhinus canicula)	Elasmobranchii	in situ	whole-mount in situ hybridization	3	(Tanaka et al., 2002)  
Tbx5		TBX5	human	Sarcopterygii: Mammalia	natural mutation	mutation results in Holt-Oram syndrom	1	(Albalat et al., 2010)
Tbx5		Tbx5	human	Sarcopterygii: Mammalia	natural mutation	Holt-Oram syndrome	1	(Camarata et al., 2010)
Tbx5		Tbx5	human	Sarcopterygii: Mammalia	natural mutation		1	(Horton et al., 2008) 
Tbx5		tbx5	human	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, human, chick, Xenopus	4	(Ruvinsky et al., 2000) 
Tbx5		Tbx5	human	Sarcopterygii: Mammalia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	human	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	(Logan, 2003)	3	(Albalat et al., 2010)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	knockout	(Logan, 2003)	1	(Albalat et al., 2010)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	knockout	(Rallis et al., 2003)	1	(Camarata et al., 2010)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	knockout		1	(Don et al., 2013)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	knockout		1	(Don et al., 2013)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	(Gibson-Brown et al., 1996)	3	(Don et al., 2013)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	whole mount	3	(Gibson-Brown et al., 1996)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	knockdown	(Rallis et al., 2003)	2	(Nuno de la Rosa et al., 2014)
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	tissue section (Chapman et al., 1996)	3	(Tanaka et al., 2005) 
Tbx5		Tbx5	mouse	Sarcopterygii: Mammalia	in situ	tissue section (Chapman et al., 1996)	3	(Tanaka et al., 2005) 
Tbx5		Tbx5	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	in situ	(Khan et al., 2002)	3	(Don et al., 2013)
Tbx5		Tbx5	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	newt (Notopthalmus viridescens)	Sarcopterygii: Amphibia	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5		Tbx5	pufferfish (Takifugu rubripes)	Actinopterygii: Teleostei	in situ		3	(Tanaka et al., 2005) 
Tbx5		tbx5	Xenopus	Sarcopterygii: Amphibia	sequencing	sequence alignment of zebrafish, human, chick, Xenopus	4	(Ruvinsky et al., 2000) 
Tbx5	tbx5	tbx5	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Albalat et al., 2010)
Tbx5	tbx5a	tbx5a	zebrafish	Actinopterygii: Teleostei	in situ		3	(Albalat et al., 2010)
Tbx5	tbx5a	tbx5 (tbx5a in (Garrity et al., 2002) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockout	Reviewed in (Logan, 2003): data from (Garrity et al., 2002) (Ahn et al., 2002)	1	(Albalat et al., 2010)
Tbx5	tbx5a	tbx5 (tbx5a in (Camarata et al., 2010) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Tbx5	tbx5a	tbx5 (tbx5a in (Garrity et al., 2002) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	(Garrity et al., 2002)	2	(Camarata et al., 2010)
Tbx5	tbx5a	tbx5 (tbx5a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	In situ data from (Ruvinsky et al., 2000)	3	(Don et al., 2013)
Tbx5	tbx5a	tbx5 (tbx5a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	In situ data from (Ruvinsky et al., 2000)	3	(Don et al., 2013)
Tbx5	tbx5a	Tbx5 (tbx5a in (Ahn et al., 2002) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	(Ahn et al., 2002)	2	(Horton et al., 2008) 
Tbx5	tbx5a	tbx5 (tbx5a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ		3	(Ruvinsky et al., 2000) 
Tbx5	tbx5a	tbx5 (tbx5a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Ruvinsky et al., 2000) 
Tbx5	tbx5a	tbx5 (tbx5a in (Ruvinsky et al., 2000) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, human, chick, Xenopus	4	(Ruvinsky et al., 2000) 
Tbx5	tbx5a	Tbx5 (tbx5a in (Tamura et al., 1999) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis	(Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5	tbx5a	Tbx5 (tbx5a in (Tamura et al., 1999) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	sequencing	sequence alignment of zebrafish, chick, mouse, human, newt (Tamura et al., 1999)	4	(Tanaka et al., 2005) 
Tbx5	tbx5a	Tbx5 (tbx5a in (Tamura et al., 1999) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	whole mount (Tamura et al., 1999)	3	(Tanaka et al., 2005) 
tcf7	tcf7	tcf7	zebrafish	Actinopterygii: Teleostei	knockout		1	(Yano et al., 2012)
Tgfb1		Tgf-Î²1	chick	Sarcopterygii: Aves	ectopic expression	beads of tgfb-1 ectopically expressed in wings (Merino et al., 1999)	2	(Hinchliffe, 2002)  
TGFB2		Tgf-Î²2	chick	Sarcopterygii: Aves	ectopic expression	beads of tgfb-2 ectopically expressed in wings (Merino et al., 1999)	2	(Hinchliffe, 2002)  
Twist1		Twist1	mouse	Sarcopterygii: Mammalia	in situ	(Zuniga et al., 2002)	3	(Zeller, 2010)
vcana	versican	versican	zebrafish	Actinopterygii: Teleostei	in situ		3	(Camarata et al., 2010)
Wnt2b		wnt2b	chick	Sarcopterygii: Aves	in situ	(Kawakami et al., 2001)	3	(Don et al., 2013)
Wnt2b		Wnt-2b	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Wnt2b		Wnt2b	chick	Sarcopterygii: Aves	in situ	(Saito et al., 2006)	3	(Nuno de la Rosa et al., 2014)
Wnt2b		Wnt2b	chick	Sarcopterygii: Aves	PCR	RT-PCR (Takeuchi et al., 2003)	3	(Tanaka et al., 2005) 
Wnt2b		Wnt2b	chick	Sarcopterygii: Aves	ectopic expression	Wnt2b-expressing cells were implanted in the flank (Takeuchi et al., 2003)	2	(Tanaka et al., 2005) 
Wnt2b		Wnt-2b	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Wnt2b	wnt2ba	wnt2b (wnt2ba for (Mercader et al., 2006) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Mercader et al., 2006)	3	(Don et al., 2013)
Wnt2b	wnt2ba	wnt2b (wnt2ba in (Ng et al., 2002) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	in situ	(Ng et al., 2002)	3	(Yano and Tamura, 2013)
Wnt2b	wnt2ba	wnt2b (wnt2ba in (Ng et al., 2002) as per ZFIN)	zebrafish	Actinopterygii: Teleostei	knockdown	reduced expression (MO) (Ng et al., 2002)	2	(Yano and Tamura, 2013)
Wnt3		Wnt3	mouse	Sarcopterygii: Mammalia	knockout	(Liu et al., 1999)	1	(Tanaka et al., 2005) 
Wnt3a		Wnt3a	chick	Sarcopterygii: Aves	in situ	(Barrow et al., 2003)	3	(Tanaka et al., 2005) 
Wnt3a		Wnt3a	chick	Sarcopterygii: Aves	in situ	(Kengaku et al., 1998)	3	(Yano and Tamura, 2013)
Wnt3a		Wnt3a	chick	Sarcopterygii: Aves	misexpression	(Kengaku et al., 1998)	2	(Yano and Tamura, 2013)
Wnt3a		Wnt3a	mouse	Sarcopterygii: Mammalia	in situ	(Barrow et al., 2003)	3	(Tanaka et al., 2005) 
Wnt5a		wnt5a	chick	Sarcopterygii: Aves	in situ	(Dealy et al., 1993)	3	(Yokoi et al., 2003) 
Wnt5a		wnt5a	medaka (Oryzias latipes)	Actinopterygii: Teleostei	sequencing	DNA sequencing and analysis	4	(Yokoi et al., 2003)  
Wnt5a		wnt5a	medaka (Oryzias latipes)	Actinopterygii: Teleostei	in situ	whole mount	3	(Yokoi et al., 2003)  
Wnt5a		wnt5a	mouse	Sarcopterygii: Mammalia	in situ	(Gavin et al., 1990; Parr et al., 1993)	3	(Yokoi et al., 2003)  
Wnt5a		wnt5a	mouse	Sarcopterygii: Mammalia	in situ	(Yamaguchi et al., 1999)	3	(Yokoi et al., 2003)  
Wnt5a		wnt5a	mouse	Sarcopterygii: Mammalia	knockout	(Yamaguchi et al., 1999)	1	(Yokoi et al., 2003)  
Wnt7a		Wnt-7a	chick	Sarcopterygii: Aves	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Wnt7a		Wnt7a	mouse	Sarcopterygii: Mammalia	knockout	(Adamska et al., 2004)	1	(Abbasi, 2011)
Wnt7a		Wnt7a	mouse	Sarcopterygii: Mammalia	knockout	(Parr and McMahon, 1995)	1	(Gibson-Brown et al., 1996)
Wnt7a		Wnt-7a	mouse	Sarcopterygii: Mammalia	in situ	(Sordino et al., 1996)	3	(Hinchliffe, 2002)  
Wnt7a		Wnt7a	mouse	Sarcopterygii: Mammalia	knockout	(Litingtung et al., 2002)	1	(Yano and Tamura, 2013)
WNT8A		wnt8c	chick	Sarcopterygii: Aves	in situ	(Kawakami et al., 2001)	3	(Don et al., 2013)
WNT8A		Wnt8c	chick	Sarcopterygii: Aves	in situ	(Takeuchi et al., 2003)	3	(Tanaka et al., 2005) 
WNT9A		Wnt14	chick	Sarcopterygii: Aves	ectopic expression	(Hartmann and Tabin, 2001)	2	(Cohn et al., 2002) 
WNT9A		Wnt14	chick	Sarcopterygii: Aves	in situ	(Hartmann and Tabin, 2001)	3	(Cohn et al., 2002) 
Wnt9a		Wnt9a	chick	Sarcopterygii: Aves	in situ	(Hartmann and Tabin, 2001)	3	(Crotwell and Mabee, 2007) 
Wnt9a		Wnt9a	mouse	Sarcopterygii: Mammalia	in situ	(Hartmann and Tabin, 2001)	3	(Crotwell and Mabee, 2007) 
Wnt9a	wnt9a	wnt9a	zebrafish	Actinopterygii: Teleostei	sequencing		4	(Cox et al., 2010)
Wnt9a	wnt9a	wnt9a	zebrafish	Actinopterygii: Teleostei	sequencing		4	(Cox et al., 2010)
Wnt9a	wnt9a	wnt9a	zebrafish	Actinopterygii: Teleostei	PCR	qPCR	3	(Cox et al., 2010)
Wnt9a	wnt9a	wnt9a	zebrafish	Actinopterygii: Teleostei	PCR	RT-PCR	3	(Cox et al., 2010)
Wnt9a	wnt9a	wnt9a	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Cox et al., 2010)
wnt9b	wnt9b	wnt9b	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Cox et al., 2010)
wnt9b	wnt9b	wnt9b	zebrafish	Actinopterygii: Teleostei	phylogenetic analysis		4	(Cox et al., 2010)
wnt9b	wnt9b	wnt9b	zebrafish	Actinopterygii: Teleostei	in situ	whole mount	3	(Cox et al., 2010)
